source	target	status
NPC2	ALOX5AP	non_indicated
NPC2	C11orf75	non_indicated
NPC2	SERPINB1	non_indicated
NPC2	MR1	non_indicated
C1orf128	RSE_00000122977	non_indicated
C1orf128	FAM174A	non_indicated
GLI3	FZD7	non_indicated
GLI3	GLI3	non_indicated
GLI3	RIPK5	non_indicated
GLI3	PTGFRN	non_indicated
GLI3	ARHGAP28	non_indicated
GLI3	CDCA7L	non_indicated
GLI3	SOX4	non_indicated
GLI3	CDH11	non_indicated
GLI3	AK056431	non_indicated
EGR2	DUSP2	non_indicated
EGR2	CD83	non_indicated
EGR2	GDF15	non_indicated
EGR2	CCL3	non_indicated
EGR2	PLAUR	non_indicated
EGR2	ATF3	non_indicated
EGR2	PTPRE	non_indicated
EGR2	IL1RN	non_indicated
EGR2	CCL3L3	non_indicated
PRKACA	LPHN1	non_indicated
PRKACA	APBB1IP	non_indicated
EGR3	EGR2	non_indicated
EGR3	DUSP5	non_indicated
EGR3	GEM	non_indicated
EGR3	NR4A3	non_indicated
EGR3	AK098447	non_indicated
TMEM98	KCNJ12	non_indicated
TMEM98	TSPAN5	non_indicated
TMEM98	CYB5R2	non_indicated
TMEM98	SDC4	non_indicated
TMEM98	KCTD14	non_indicated
TMEM98	NM_153225	non_indicated
CD37	EVI2B	non_indicated
CD37	HLA-DPB1	non_indicated
CDH1	PPAPDC1A	non_indicated
CDH1	CNKSR1	non_indicated
CDH1	SCG5	non_indicated
CDH1	SPOCK2	non_indicated
CDH1	KCTD8	non_indicated
CDH1	FBXL16	non_indicated
CDH1	TMEM130	non_indicated
CDH1	BC032911	non_indicated
KIAA1239	HSS00100143	non_indicated
PMAIP1	Contig29732_RC	non_indicated
Contig50905_RC	EPHA3	non_indicated
Contig50905_RC	HSS00131072	non_indicated
CAV2	CAV1	non_indicated
CAV2	GLYAT	non_indicated
CAV2	ASPH	non_indicated
CAV2	ELOVL5	non_indicated
CDKN2C	TRDV1	non_indicated
CDKN2C	RNF175	non_indicated
CDKN2C	HSS00095567	non_indicated
CDKN2C	HHIPL2	non_indicated
APOBEC3B	RTP4	non_indicated
CFHR1	CFHR1	non_indicated
CFHR1	CFH	non_indicated
CFHR1	BC031314	non_indicated
KLF9	F3	non_indicated
