source	interaction_type	target	status
RPL9	bn	RPS15A	non_indicated
RPL9	bn	RPS3A	non_indicated
ERH	bn	LOC100506980	non_indicated
ABCF1	bn	WDR5	non_indicated
ZNF146	bn	METTL18	non_indicated
ZNF146	bn	VEZT	non_indicated
ILF2	bn	CKS1B	non_indicated
ILF2	bn	FABP5	non_indicated
ILF2	bn	SRSF3	non_indicated
ILF2	bn	ZNF259	non_indicated
NPM1	bn	NAE1	non_indicated
NPM1	bn	ACYP1	non_indicated
NPM1	bn	URI1	non_indicated
NPM1	bn	MOCS2	non_indicated
NPM1	bn	DPH5	non_indicated
NPM1	bn	YAE1D1	non_indicated
NPM1	bn	LOC93622	non_indicated
NPM1	bn	TARSL2	non_indicated
NPM1	bn	FLJ33630	non_indicated
NPM1	bn	ARL10	non_indicated
HSP90AB1	bn	HYOU1	non_indicated
HSP90AB1	bn	ELP4	non_indicated
HSP90AB1	bn	BAZ1B	non_indicated
HSP90AB1	bn	KDM1A	non_indicated
HSP90AB1	bn	NXT1	non_indicated
CNPPD1	bn	C4A	non_indicated
GUK1	bn	AK1	non_indicated
GUK1	bn	AHSP	non_indicated
GUK1	bn	RILP	non_indicated
TMED2	bn	COX7A2L	non_indicated
TMED2	bn	CNIH	non_indicated
TMED2	bn	GABPB1	non_indicated
TMED2	bn	RBM3	non_indicated
TMED2	bn	MED21	non_indicated
EIF3A	bn	HTATSF1	non_indicated
EIF3A	bn	OSBPL3	non_indicated
EIF3A	bn	ATRN	non_indicated
EIF3A	bn	RDH11	non_indicated
EIF3A	bn	WDR11	non_indicated
EIF3A	bn	ZCCHC8	non_indicated
EIF3A	bn	SAR1B	non_indicated
EIF3A	bn	HPS3	non_indicated
EIF3A	bn	AP4E1	non_indicated
HSP90B1	bn	STT3A	non_indicated
PRKAR1A	bn	CNOT8	non_indicated
PRKAR1A	bn	CRNKL1	non_indicated
PRKAR1A	bn	ZYG11B	non_indicated
PRKAR1A	bn	RNF141	non_indicated
NCL	bn	ILF2	non_indicated
NCL	bn	HSP90AB1	non_indicated
NCL	bn	PREP	non_indicated
NCL	bn	UTP20	non_indicated
NCL	bn	CASP6	non_indicated
NCL	bn	CKAP5	non_indicated
NCL	bn	POGK	non_indicated
NCL	bn	DET1	non_indicated
NCL	bn	USP40	non_indicated
AP2B1	bn	LOC100131262	non_indicated
AP2B1	bn	HEBP1	non_indicated
LOC100506732	bn	SRRM1	non_indicated
LOC100506732	bn	ARL6IP1	non_indicated
LOC100506732	bn	SNRNP27	non_indicated
LOC100506732	bn	RAP2B	non_indicated
LOC100506732	bn	SYNC	non_indicated
LOC100506732	bn	LIN7C	non_indicated
WARS	bn	PSME2	non_indicated
WARS	bn	ASPHD2	non_indicated
WARS	bn	FAM225A	non_indicated
PHB	bn	CCDC167	non_indicated
PHB	bn	CRIM1	non_indicated
TOMM20	bn	LOC100506948	non_indicated
TOMM20	bn	GRSF1	non_indicated
TOMM20	bn	FAM3C	non_indicated
TOMM20	bn	PRPS2	non_indicated
TOMM20	bn	AKAP7	non_indicated
TOMM20	bn	TCF12	non_indicated
TOMM20	bn	CRY1	non_indicated
TOMM20	bn	MAK16	non_indicated
TOMM20	bn	SUN1	non_indicated
TOMM20	bn	CAMK2D	non_indicated
TOMM20	bn	SPICE1	non_indicated
LOC100505813	bn	TREML1	non_indicated
LOC100505813	bn	SELP	non_indicated
LOC100505813	bn	ITGB5	non_indicated
LOC100505813	bn	GUCY1A3	non_indicated
CD81	bn	SMAGP	non_indicated
HSPA9	bn	ST6GAL1	non_indicated
HSPA9	bn	R3HDM1	non_indicated
HSPA9	bn	MRPL19	non_indicated
HSPA9	bn	LCMT2	non_indicated
HSPA9	bn	EPM2A	non_indicated
HSPA9	bn	RRP1B	non_indicated
HSPA9	bn	BCOR	non_indicated
HSPA9	bn	RCC2	non_indicated
HSPA9	bn	SAAL1	non_indicated
DDX24	bn	MORC2	non_indicated
DDX24	bn	TNFAIP8L1	non_indicated
EEF1B2	bn	C4orf46	non_indicated
EEF1B2	bn	IPO5	non_indicated
EEF1B2	bn	LOC728554	non_indicated
EEF1B2	bn	GAS5	non_indicated
EEF1B2	bn	SNHG8	non_indicated
EEF1B2	bn	C8orf40	non_indicated
LITAF	bn	MARCKS	non_indicated
GOT2	bn	ZMYM3	non_indicated
GOT2	bn	TRIM44	non_indicated
GOT2	bn	FAM86C1	non_indicated
GOT2	bn	CSRP2BP	non_indicated
GOT2	bn	LOC100505639	non_indicated
RPL7	bn	RPS24	non_indicated
RPL7	bn	RPL23	non_indicated
RPL7	bn	EIF3E	non_indicated
PPP1CC	bn	FTSJD1	non_indicated
PPP1CC	bn	GNPDA2	non_indicated
PPP1CC	bn	GFM2	non_indicated
ACTR2	bn	YWHAZ	non_indicated
ACTR2	bn	RAB11A	non_indicated
ACTR2	bn	RAB14	non_indicated
ACTR2	bn	LOC100652987	non_indicated
ACTR2	bn	GOLPH3	non_indicated
ACTR2	bn	KPNA4	non_indicated
ACTR2	bn	RSPRY1	non_indicated
ACTR2	bn	EAF1	non_indicated
ACTR2	bn	PPP1CB	non_indicated
ARF3	bn	LOC100506234	non_indicated
ARF3	bn	GALK1	non_indicated
SRSF2	bn	DFFB	non_indicated
DPYSL2	bn	NREP	non_indicated
DPYSL2	bn	PTPRO	non_indicated
DPYSL2	bn	ATP2A2	non_indicated
DPYSL2	bn	UBE2E2	non_indicated
BZW1	bn	KLHL9	non_indicated
RPS15A	bn	RPS29	non_indicated
RPS15A	bn	NDUFA4	non_indicated
STMN1	bn	FEN1	non_indicated
LRP1	bn	STAB1	non_indicated
PEA15	bn	HLA-DRB1	non_indicated
ODC1	bn	PIM1	non_indicated
HSPA1A	bn	MAPK1	non_indicated
HSPA1A	bn	MTF1	non_indicated
HSPA1A	bn	MAP4K4	non_indicated
HSPA1A	bn	SSH1	non_indicated
HSPD1	bn	HSPH1	non_indicated
GSTP1	bn	PEPD	non_indicated
GSTP1	bn	CDK5	non_indicated
GSTP1	bn	FADS1	non_indicated
GSTP1	bn	PLXND1	non_indicated
GSTP1	bn	CACNA2D3	non_indicated
GSTP1	bn	LOC100505622	non_indicated
SNRPD2	bn	RPL35	non_indicated
SNRPD2	bn	CNPY2	non_indicated
SNRPD2	bn	EMG1	non_indicated
SNRPD2	bn	NDUFB2	non_indicated
SNRPD2	bn	C11orf31	non_indicated
GNB2	bn	VASP	non_indicated
GNB2	bn	SRF	non_indicated
GNB2	bn	RARA	non_indicated
GNB2	bn	TECPR2	non_indicated
GNB2	bn	PPP4C	non_indicated
GNB2	bn	TRIOBP	non_indicated
GNB2	bn	PSENEN	non_indicated
GNB2	bn	CPNE2	non_indicated
GNB2	bn	LOC643529	non_indicated
RAB11A	bn	BMP2K	non_indicated
RPL18A	bn	SLC25A36	non_indicated
RPL18A	bn	LOC550643	non_indicated
MIR1292	bn	PLCG1	non_indicated
MIR1292	bn	LZTR1	non_indicated
MIR1292	bn	GCN1L1	non_indicated
MIR1292	bn	ASB1	non_indicated
MIR1292	bn	ECHDC2	non_indicated
MIR1292	bn	MRPL46	non_indicated
MIR1292	bn	MEI1	non_indicated
MIR1292	bn	LOC100133190	non_indicated
MIR1292	bn	JMJD7	non_indicated
CCT4	bn	IARS	non_indicated
CCT4	bn	GPX7	non_indicated
CCT4	bn	PPA1	non_indicated
CCT4	bn	MINOS1	non_indicated
EPAS1	bn	IL1RL1	non_indicated
RPL23	bn	RPS27	non_indicated
RPL23	bn	COX7C	non_indicated
TRA2B	bn	M6PR	non_indicated
TRA2B	bn	SRFBP1	non_indicated
HDGF	bn	ATP1B2	non_indicated
HDGF	bn	VTI1B	non_indicated
HDGF	bn	SMOX	non_indicated
HDGF	bn	SSBP3	non_indicated
HDGF	bn	TSTA3	non_indicated
MGEA5	bn	DCBLD2	non_indicated
MGEA5	bn	FAM209A	non_indicated
MGEA5	bn	CAHM	non_indicated
MGEA5	bn	MIR101-1	non_indicated
MGEA5	bn	LOC401320	non_indicated
MGEA5	bn	PAN3-AS1	non_indicated
M6PR	bn	TSPAN31	non_indicated
CCT3	bn	SEPW1	non_indicated
CCT3	bn	RAN	non_indicated
CCT3	bn	EBNA1BP2	non_indicated
CCT3	bn	ADSL	non_indicated
CCT3	bn	LARS2	non_indicated
CCT3	bn	FBL	non_indicated
CCT3	bn	UTP14A	non_indicated
EIF4A2	bn	OGT	non_indicated
EIF4A2	bn	SNHG10	non_indicated
KTN1	bn	HSPA14	non_indicated
PHC2	bn	NUDT16P1	non_indicated
PHC2	bn	SLA	non_indicated
PHC2	bn	INHBB	non_indicated
PHC2	bn	USP10	non_indicated
PHC2	bn	TMCC3	non_indicated
PHC2	bn	FOXQ1	non_indicated
PHC2	bn	FGD4	non_indicated
PHC2	bn	LHX4	non_indicated
DEK	bn	GPR65	non_indicated
RPL5	bn	EEF1B2	non_indicated
RPL5	bn	ZNF420	non_indicated
GLUD1	bn	PUS7	non_indicated
GLUD1	bn	METTL21A	non_indicated
CCND2	bn	MAP3K4	non_indicated
CCND2	bn	ZNF792	non_indicated
SSRP1	bn	ABCF1	non_indicated
SSRP1	bn	EXOSC10	non_indicated
SSRP1	bn	ATP1A1	non_indicated
SSRP1	bn	NOB1	non_indicated
SSRP1	bn	SRP68	non_indicated
SSRP1	bn	PIGU	non_indicated
RPL31	bn	COX6C	non_indicated
RPL31	bn	RPL17	non_indicated
RPL31	bn	RPS17	non_indicated
RPL31	bn	C8orf59	non_indicated
ABLIM1	bn	LDHB	non_indicated
ABLIM1	bn	ZBTB24	non_indicated
SERP1	bn	DPH3P1	non_indicated
SERP1	bn	FAM92A1	non_indicated
MDH1	bn	ALG14	non_indicated
MDH1	bn	GLO1	non_indicated
MDH1	bn	PSMC2	non_indicated
MDH1	bn	CCT2	non_indicated
MDH1	bn	HSPE1	non_indicated
MDH1	bn	ADH5	non_indicated
MDH1	bn	MRPL39	non_indicated
MDH1	bn	TOMM5	non_indicated
MDH1	bn	C1orf31	non_indicated
CD59	bn	PLSCR1	non_indicated
SERPING1	bn	4-Sep	non_indicated
HIF1A	bn	RLIM	non_indicated
HIF1A	bn	RBMXL1	non_indicated
TRIM28	bn	USP11	non_indicated
TRIM28	bn	KLC2	non_indicated
TRIM28	bn	HHLA3	non_indicated
TRIM28	bn	SERGEF	non_indicated
TRIM28	bn	WDR74	non_indicated
TRIM28	bn	9-Mar	non_indicated
IPO7	bn	GLUD1	non_indicated
IPO7	bn	ABCE1	non_indicated
IPO7	bn	RGL1	non_indicated
IPO7	bn	SERBP1	non_indicated
IPO7	bn	TFB2M	non_indicated
CKAP4	bn	MAPK1	non_indicated
AARS	bn	MTHFD1	non_indicated
AARS	bn	ACACA	non_indicated
AARS	bn	SPATS2	non_indicated
PAICS	bn	NCL	non_indicated
PAICS	bn	PRPS1	non_indicated
EIF1AX	bn	BEX4	non_indicated
EIF1AX	bn	EEF1E1-MUTED	non_indicated
DSTN	bn	ICMT	non_indicated
CD99	bn	LOC100505828	non_indicated
ADD3	bn	CEP44	non_indicated
HADH	bn	LINC00526	non_indicated
RAD23A	bn	SLC1A5	non_indicated
RAD23A	bn	RAB3IL1	non_indicated
TGM2	bn	CSDA	non_indicated
PSMF1	bn	TESC	non_indicated
PSMF1	bn	NINJ2	non_indicated
PSMF1	bn	TTC25	non_indicated
HNRNPA0	bn	ZNF2	non_indicated
MYL9	bn	SAMD14	non_indicated
STOM	bn	CREG1	non_indicated
PSMC2	bn	MRPL35	non_indicated
SF3B1	bn	ZNF638	non_indicated
SF3B1	bn	CLK1	non_indicated
SF3B1	bn	GNG8	non_indicated
SMARCC1	bn	CALM1	non_indicated
NHP2L1	bn	FKBP4	non_indicated
BCLAF1	bn	ANKRD12	non_indicated
RBBP7	bn	ZNF57	non_indicated
RBBP7	bn	AFG3L2	non_indicated
RBBP7	bn	NUP88	non_indicated
RBBP7	bn	ZNF3	non_indicated
RBBP7	bn	SNRPA1	non_indicated
RBBP7	bn	TIMM21	non_indicated
RPS29	bn	RPS21	non_indicated
RPS29	bn	CD52	non_indicated
LGALS1	bn	THOC6	non_indicated
THBS1	bn	TGFB1I1	non_indicated
THBS1	bn	LIPH	non_indicated
POLD2	bn	PAR-SN	non_indicated
POLD2	bn	DEXI	non_indicated
POLD2	bn	C16orf88	non_indicated
POLD2	bn	FARSB	non_indicated
POLD2	bn	GPATCH4	non_indicated
POLD2	bn	SLC25A23	non_indicated
POLD2	bn	FAM213B	non_indicated
PGD	bn	PLIN3	non_indicated
PGD	bn	DACH1	non_indicated
PGRMC1	bn	MMD	non_indicated
PGRMC1	bn	TPM4	non_indicated
PJA2	bn	HIF1A	non_indicated
PJA2	bn	ZFAND5	non_indicated
PJA2	bn	TOR1AIP1	non_indicated
PJA2	bn	B3GNT2	non_indicated
ECHS1	bn	NAGPA	non_indicated
ECHS1	bn	C20orf4	non_indicated
ECHS1	bn	AVPI1	non_indicated
ECHS1	bn	TMEM229B	non_indicated
ECHS1	bn	DNPEP	non_indicated
ECHS1	bn	PAOX	non_indicated
SSB	bn	EBNA1BP2	non_indicated
SSB	bn	GNL2	non_indicated
SSB	bn	METTL5	non_indicated
SSB	bn	C6orf203	non_indicated
SSB	bn	GATC	non_indicated
NFE2L2	bn	LOC100129518	non_indicated
NFE2L2	bn	TET3	non_indicated
MBNL1	bn	ASNSD1	non_indicated
MBNL1	bn	RCOR3	non_indicated
MBNL1	bn	SESN3	non_indicated
MBNL1	bn	FAM204A	non_indicated
CSDA	bn	FGFR1	non_indicated
PUM1	bn	ETV3	non_indicated
UBA2	bn	MINA	non_indicated
UBA2	bn	TMA16	non_indicated
UBA2	bn	NUP35	non_indicated
UBA2	bn	DNAJC21	non_indicated
GNAI3	bn	RFWD2	non_indicated
GNAI3	bn	MOB1A	non_indicated
GNAI3	bn	DPH3	non_indicated
ITPR3	bn	IL18	non_indicated
IDH1	bn	ATP6AP2	non_indicated
IDH1	bn	KIN	non_indicated
IDH1	bn	P4HA1	non_indicated
IDH1	bn	SMG8	non_indicated
PCNA	bn	MCM4	non_indicated
PCNA	bn	UBFD1	non_indicated
SNRNP70	bn	ACAP3	non_indicated
SNRNP70	bn	C16orf55	non_indicated
RAD23B	bn	FKBP1A	non_indicated
RAD23B	bn	XRN2	non_indicated
NDUFB8	bn	ICT1	non_indicated
NDUFB8	bn	NDUFA9	non_indicated
