source target	status
ADSS C14orf126	non_indicated
ADSS ELK1	non_indicated
ADSS NM_199338	non_indicated
CASP6 Contig23853_RC	non_indicated
CASP6 Contig41852	non_indicated
CASP6 HELB	non_indicated
Contig54540_RC TNPO1	non_indicated
Contig40464_RC SCG3	non_indicated
CD44 HERC5	non_indicated
CD44 AK021549	non_indicated
CD44 CHI3L2	non_indicated
CD44 WDR49	non_indicated
CD44 MARCH3	non_indicated
IGFBP2 NM_001003682	non_indicated
PON2 HADHB	non_indicated
PON2 GPR137B	non_indicated
PICALM ENST00000296018	non_indicated
FZD3 SLC39A10	non_indicated
FZD3 Contig42161_RC	non_indicated
FZD3 BMPR2	non_indicated
M6PRBP1 hCT2270866	non_indicated
ID4 CAMTA1	non_indicated
ITGB2 LILRA2	non_indicated
SLPI MUC4	non_indicated
SLPI hCT1955556	non_indicated
CUTL2 FAM78B	non_indicated
CUTL2 NEUROD1	non_indicated
CUTL2 NM_138339	non_indicated
CUTL2 HS6ST3	non_indicated
CUTL2 ANKRD43	non_indicated
CUTL2 AK094533	non_indicated
SART2 CD58	non_indicated
SART2 Contig28226_RC	non_indicated
SART2 SP1	non_indicated
SART2 NM_032802	non_indicated
RPS3A RSE_00000647539	non_indicated
RPS3A hCT20524.3	non_indicated
EGR1 EGR2	non_indicated
EGR1 NR4A1	non_indicated
EGR1 AK058002	non_indicated
EGR1 NR4A3	non_indicated
Contig46881_RC Contig42006_RC	non_indicated
SERPINH1 BCL6B	non_indicated
SERPINH1 SNHG3	non_indicated
PCDHA9 PCDHA8	non_indicated
NM_018590 XM_210054	non_indicated
STAT1 SERPINI2	non_indicated
MMD ZNF654	non_indicated
MMD SPSB2	non_indicated
MMD AL832540	non_indicated
TRIM59 RASGRP3	non_indicated
TRIM59 HRASLS3	non_indicated
TRIM59 ZNF536	non_indicated
TRIM59 DEPDC7	non_indicated
NETO2 HAPLN1	non_indicated
NETO2 CCDC4	non_indicated
Contig43527 RGS22	non_indicated
Contig43527 HSS00257518	non_indicated
Contig35596_RC ENST00000295549	non_indicated
PAK3 CAP2	non_indicated
PAK3 Contig15728_RC	non_indicated
PAK3 GLRA2	non_indicated
PAK3 JPH1	non_indicated
PAK3 NAV3	non_indicated
PAK3 BC035737	non_indicated
TMEM16B AK057093	non_indicated
TMEM16B AK057923	non_indicated
TMEM16B hCT2286560	non_indicated
ANK2 UNC13C	non_indicated
ANK2 AK056929	non_indicated
PTPRZ1 HSS00011372	non_indicated
PTPRZ1 ELP4	non_indicated
C20orf28 Contig42274_RC	non_indicated
C20orf28 CA4	non_indicated
C20orf28 BEST3	non_indicated
C20orf28 BC015129	non_indicated
C20orf28 HSS00106140	non_indicated
Contig47262_RC Contig43664_RC	non_indicated
