source	interaction_type	target	status
ATP6V1C1	BN	TMEM56	non_indicated
MRC1	BN	RP11-162I21.1	non_indicated
MRC1	BN	XLKD1	non_indicated
C6orf137	BN	NM_014859	non_indicated
C6orf137	BN	KCNJ4	non_indicated
C6orf137	BN	AK054755	non_indicated
C6orf137	BN	TTC9B	non_indicated
LAMA4	BN	Contig54847_RC	non_indicated
LAMA4	BN	NM_175884	non_indicated
ZFHX2	BN	Contig16329_RC	non_indicated
ZFHX2	BN	ZNF226	non_indicated
ASTN1	BN	NRCAM	non_indicated
ASTN1	BN	ATPAF1	non_indicated
ASTN1	BN	KIAA0101	non_indicated
ASTN1	BN	hCT1815989.2	non_indicated
PRG1	BN	Contig13480_RC	non_indicated
PRG1	BN	SART2	non_indicated
PRG1	BN	TES	non_indicated
PRG1	BN	EDG3	non_indicated
PRG1	BN	SAT1	non_indicated
PRG1	BN	IRAK3	non_indicated
PRG1	BN	TLR2	non_indicated
PRG1	BN	PECAM1	non_indicated
KALRN	BN	KIAA1409	non_indicated
KALRN	BN	C5orf13	non_indicated
KALRN	BN	RIMS1	non_indicated
KALRN	BN	PTHR2	non_indicated
EPB41L3	BN	ACTN2	non_indicated
EPB41L3	BN	XM_071167	non_indicated
NHLRC1	BN	CCDC87	non_indicated
NHLRC1	BN	C21orf122	non_indicated
Contig24986	BN	BEXL1	non_indicated
PHLDB2	BN	BC038744	non_indicated
AL050204	BN	EXPH5	non_indicated
AL050204	BN	C1orf187	non_indicated
Contig41804_RC	BN	CLIC6	non_indicated
MAP4	BN	FGF1	non_indicated
Contig42599_RC	BN	USP15	non_indicated
Contig42599_RC	BN	SCN8A	non_indicated
Contig42599_RC	BN	LPGAT1	non_indicated
Contig42599_RC	BN	AF086164	non_indicated
Contig42599_RC	BN	C1orf86	non_indicated
Contig42599_RC	BN	hCT1782866.2	non_indicated
Contig42599_RC	BN	AK090762	non_indicated
FAM46A	BN	IRX3	non_indicated
FAM46A	BN	Contig42328_RC	non_indicated
TNNT2	BN	NM_022448	non_indicated
TNNT2	BN	CYP26B1	non_indicated
NM_019027	BN	BC026299	non_indicated
IGLV3-21	BN	IGLL1	non_indicated
Contig33579_RC	BN	BC037943	non_indicated
PDLIM3	BN	AXL	non_indicated
COL5A2	BN	ARL15	non_indicated
COL5A2	BN	GRB14	non_indicated
GATM	BN	Contig54076_RC	non_indicated
KIAA1409	BN	Contig54544_RC	non_indicated
KIAA1409	BN	ATP2B3	non_indicated
KIAA1409	BN	SIDT1	non_indicated
KIAA1409	BN	PRDM2	non_indicated
KIAA1409	BN	hCT2265402	non_indicated
KIAA1409	BN	AK025016	non_indicated
SOS1	BN	Contig31928_RC	RASopathy_gene
SOS1	BN	Contig36385_RC	RASopathy_gene
SOS1	BN	NM_015092	RASopathy_gene
SOS1	BN	HSS00176616	RASopathy_gene
NEDD4	BN	C14orf125	non_indicated
KLRC1	BN	KLRC2	non_indicated
C8orf16	BN	AF035290	non_indicated
C8orf16	BN	AF147426	non_indicated
SHC4	BN	AK021630	non_indicated
SHC4	BN	C1orf198	non_indicated
SHC4	BN	SH3TC2	non_indicated
SHC4	BN	AK096235	non_indicated
NPC2	BN	IL13RA1	non_indicated
NPC2	BN	TRIM34	non_indicated
C1orf128	BN	NM_016641	non_indicated
C1orf128	BN	FDPS	non_indicated
C1orf128	BN	ENST00000282683	non_indicated
TMEM98	BN	TMEM63A	non_indicated
CD37	BN	CYTL1	non_indicated
KIAA1239	BN	SATB2	non_indicated
KIAA1239	BN	KCNB2	non_indicated
KIAA1239	BN	AK096649	non_indicated
AF052117	BN	LMO2	non_indicated
AF052117	BN	ANK3	non_indicated
AF052117	BN	KCNK1	non_indicated
AF052117	BN	RAPGEF5	non_indicated
AF052117	BN	PLP2	non_indicated
AF052117	BN	Contig41698_RC	non_indicated
AF052117	BN	POPDC3	non_indicated
TMEM14A	BN	GTF2H3	non_indicated
CAV2	BN	CD97	non_indicated
CAV2	BN	TFPI2	non_indicated
CFHR1P	BN	AK021858	non_indicated
CFHR1P	BN	AMICA1	non_indicated
PANX1	BN	YPEL5	non_indicated
Contig32099_RC	BN	C17orf72	non_indicated
Contig32099_RC	BN	HSS00046440	non_indicated
SFN	BN	SPOCD1	non_indicated
CFB	BN	TCN2	non_indicated
CFB	BN	PODN	non_indicated
CFB	BN	TDRD10	non_indicated
CFB	BN	NDUFA4L2	non_indicated
RAD54L	BN	HSS00048911	non_indicated
SFRS5	BN	LAMP1	non_indicated
C11orf9	BN	HSD17B3	non_indicated
C11orf9	BN	OLIG2	non_indicated
C11orf9	BN	AK092660	non_indicated
C11orf9	BN	HSS00185615	non_indicated
Contig45505_RC	BN	SUSD4	non_indicated
Contig45505_RC	BN	ANKRD2	non_indicated
ANK3	BN	ATP8A1	non_indicated
ANK3	BN	ANKS1B	non_indicated
KCNA4	BN	CDCA5	non_indicated
Contig57822_RC	BN	EPS8	non_indicated
Contig57822_RC	BN	CALD1	non_indicated
Contig57822_RC	BN	LTBP1	non_indicated
Contig57822_RC	BN	LPP	non_indicated
TMEFF1	BN	ADSS	non_indicated
TMEFF1	BN	OAT	non_indicated
Contig15746_RC	BN	Contig16479_RC	non_indicated
Contig15746_RC	BN	XM_166897	non_indicated
HERC6	BN	Contig43645_RC	non_indicated
HERC6	BN	MX1	non_indicated
ENG	BN	SMAD6	non_indicated
ENG	BN	C16orf30	non_indicated
Contig43791_RC	BN	TGFB2	non_indicated
Contig43791_RC	BN	SLC1A3	non_indicated
SEMA3B	BN	RP5-1054A22.3	non_indicated
SEMA3B	BN	COL9A3	non_indicated
Contig1970_RC	BN	AFF3	non_indicated
Contig1970_RC	BN	C1orf71	non_indicated
Contig1970_RC	BN	RASD1	non_indicated
AK001020	BN	ZBTB20	non_indicated
AK001020	BN	Contig16786_RC	non_indicated
AK001020	BN	Contig23404_RC	non_indicated
AK001020	BN	TRPS1	non_indicated
AK001020	BN	AK022351	non_indicated
AK001020	BN	AK024118	non_indicated
AK001020	BN	AK024106	non_indicated
AK001020	BN	METTL7A	non_indicated
AK001020	BN	GRAMD3	non_indicated
MLXIP	BN	DKK3	non_indicated
SPP1	BN	HSS00046294	non_indicated
DNAJA1	BN	FKBP4	non_indicated
DNAJA1	BN	DNAJB4	non_indicated
DNAJA1	BN	CCNA2	non_indicated
MSN	BN	RAB27A	non_indicated
GBP2	BN	CFB	non_indicated
CDO1	BN	DAPK1	non_indicated
Contig55766_RC	BN	LRRC20	non_indicated
Contig46047_RC	BN	CNTNAP4	non_indicated
Contig46047_RC	BN	AF085983	non_indicated
Contig46047_RC	BN	STK31	non_indicated
Contig46047_RC	BN	NT5DC1	non_indicated
Contig46047_RC	BN	TCBA1	non_indicated
ALOX5	BN	GMFG	non_indicated
ALOX5	BN	CSF3R	non_indicated
ALOX5	BN	PTPRC	non_indicated
Contig38388_RC	BN	TNNT1	non_indicated
Contig38388_RC	BN	BC040678	non_indicated
Contig38388_RC	BN	MMD2	non_indicated
SATB1	BN	Contig37978_RC	non_indicated
SATB1	BN	OSBPL6	non_indicated
TANC2	BN	MEF2C	non_indicated
TANC2	BN	PRKCE	non_indicated
SALL1	BN	CA2	non_indicated
