nodename	color	shape	size	font_size
SYNJ2	grey	circle	40	12
SYT1	grey	circle	40	12
TAGAP	grey	circle	40	12
TARBP1	grey	circle	40	12
TASP1	grey	circle	40	12
TATDN3	grey	circle	40	12
TBC1D9	grey	circle	40	12
TBR1	grey	circle	40	12
TBX3	grey	circle	40	12
TCEAL6	grey	circle	40	12
TDRD5	grey	circle	40	12
TECTA	grey	circle	40	12
TERF2IP	grey	circle	40	12
TGFB2	grey	circle	40	12
TGFBR1	grey	circle	40	12
TIPARP	grey	circle	40	12
TJP2	grey	circle	40	12
TM4SF1	grey	circle	40	12
TM6SF1	grey	circle	40	12
TMBIM1	grey	circle	40	12
TMEM132B	grey	circle	40	12
TMEM157	grey	circle	40	12
TMEM169	grey	circle	40	12
TMEM176B	grey	circle	40	12
TNFAIP8	grey	circle	40	12
TNFRSF10D	grey	circle	40	12
TOMM20	grey	circle	40	12
TOMM70A	grey	circle	40	12
TPST1	grey	circle	40	12
TRAF3IP2	grey	circle	40	12
TRIM45	grey	circle	40	12
TRIM66	grey	circle	40	12
TRIP10	grey	circle	40	12
TRMT5	grey	circle	40	12
TSPYL5	grey	circle	40	12
TTR	grey	circle	40	12
TTYH1	grey	circle	40	12
TUBA1	grey	circle	40	12
TUBB2B	grey	circle	40	12
TXNDC13	grey	circle	40	12
TXNRD1	grey	circle	40	12
UBE2E4P	grey	circle	40	12
UBE2T	grey	circle	40	12
UBE2V2	grey	circle	40	12
UCHL1	grey	circle	40	12
UHMK1	grey	circle	40	12
UPP1	grey	circle	40	12
VASP	grey	circle	40	12
VDAC1	grey	circle	40	12
VEGF	grey	circle	40	12
VPS36	grey	circle	40	12
WDR49	red	circle	120	36
WSB1	grey	circle	40	12
X75685	grey	circle	40	12
XBP1	grey	circle	40	12
XKR4	grey	circle	40	12
XM_071167	grey	circle	40	12
XM_115036	grey	circle	40	12
XM_172410	grey	circle	40	12
XM_209936	grey	circle	40	12
XM_210231	grey	circle	40	12
XM_210492	grey	circle	40	12
XM_210502	red	circle	120	36
XM_211704	grey	circle	40	12
XM_211811	grey	circle	40	12
YWHAG	grey	circle	40	12
YWHAH	grey	circle	40	12
ZCCHC12	grey	circle	40	12
ZDHHC21	grey	circle	40	12
ZFP36	grey	circle	40	12
ZNF124	grey	circle	40	12
ZNF25	grey	circle	40	12
ZZEF1	grey	circle	40	12
