Gene	Status
CDK5RAP1	non_indicated
C16orf57	non_indicated
C16orf55	non_indicated
ITCH	non_indicated
ERC1	non_indicated
CHMP4B	non_indicated
CCDC144A	non_indicated
BAX	non_indicated
IARS	non_indicated
COBLL1	non_indicated
SLC37A2	non_indicated
SLC37A3	non_indicated
CDK19	non_indicated
TOB1	non_indicated
CDK12	non_indicated
CDK13	non_indicated
CDK10	non_indicated
CDK17	non_indicated
CDK14	non_indicated
NEO1	non_indicated
AASDH	non_indicated
2-Mar	non_indicated
ZNF302	non_indicated
BFSP1	non_indicated
STS	non_indicated
MMP25	non_indicated
SEC61G	non_indicated
MTERFD3	non_indicated
MTERFD2	non_indicated
MTERFD1	non_indicated
HVCN1	non_indicated
NCL	non_indicated
PPP3CA	non_indicated
PPP3CB	non_indicated
PPP3CC	non_indicated
SESTD1	non_indicated
LRRC40	non_indicated
B3GNT5	non_indicated
B3GNT7	non_indicated
B3GNT1	non_indicated
B3GNT2	non_indicated
TSFM	non_indicated
B3GNT8	non_indicated
PWWP2A	non_indicated
BIK	non_indicated
FGFR1	non_indicated
CXCL1	non_indicated
DAAM1	non_indicated
DAAM2	non_indicated
HLA-DRB1	non_indicated
PSRC1	non_indicated
LOC100505937	non_indicated
CCDC153	non_indicated
GUK1	non_indicated
SGK494	non_indicated
YIF1A	non_indicated
TUFT1	non_indicated
MUTYH	non_indicated
MTCH2	non_indicated
FN1	non_indicated
TIAL1	non_indicated
LOC285847	non_indicated
RHD	non_indicated
TASP1	non_indicated
PCED1A	non_indicated
CCSAP	non_indicated
PCED1B	non_indicated
FUBP3	non_indicated
FUBP1	non_indicated
NCSTN	non_indicated
CEP104	non_indicated
LOC100507472	non_indicated
MARCO	non_indicated
SAP30	non_indicated
NBL1	non_indicated
TCP11L2	non_indicated
ANGPT1	non_indicated
PRSS21	non_indicated
C1orf52	non_indicated
MANSC1	non_indicated
C1orf54	non_indicated
LOC647979	non_indicated
ICMT	non_indicated
FCF1	non_indicated
MPZL1	non_indicated
ATP6V0A2	non_indicated
TBC1D1	non_indicated
GPR97	non_indicated
SMCR7L	non_indicated
C17orf108	non_indicated
C17orf109	non_indicated
TBC1D4	non_indicated
ATM	non_indicated
KRT79	non_indicated
C17orf101	non_indicated
ATR	non_indicated
LOC100289230	non_indicated
SMPD3	non_indicated
LINC00342	non_indicated
TTC25	non_indicated
TTC26	non_indicated
TTC27	non_indicated
PATL2	non_indicated
TTC22	non_indicated
PATL1	non_indicated
U2SURP	non_indicated
IL6R	non_indicated
ENO1	non_indicated
ENO2	non_indicated
ENO3	non_indicated
SYCP2	non_indicated
SYCP3	non_indicated
AGPAT4-IT1	non_indicated
CNOT6L	non_indicated
SLC22A18	non_indicated
ACOX1	non_indicated
NSMCE1	non_indicated
LOC728613	non_indicated
OBSCN	non_indicated
PTK2	non_indicated
PRKAA1	non_indicated
ITGB3BP	non_indicated
MCL1	non_indicated
SORBS1	non_indicated
SORBS3	non_indicated
GAL3ST4	non_indicated
IL18RAP	non_indicated
ATG16L2	non_indicated
EOMES	non_indicated
C4orf52	non_indicated
C3orf37	non_indicated
ARHGDIA	non_indicated
NANP	non_indicated
C3orf38	non_indicated
ENDOG	non_indicated
TANC2	non_indicated
CES1	non_indicated
C15orf63	non_indicated
C15orf61	non_indicated
EBF1	non_indicated
FFAR2	non_indicated
LMNA	non_indicated
BDH2	non_indicated
ENDOV	non_indicated
BDH1	non_indicated
DDX21	non_indicated
DDX20	non_indicated
DDX24	non_indicated
RPL32P3	non_indicated
ZNF92	non_indicated
ZNF93	non_indicated
LOC100131170	non_indicated
SAC3D1	non_indicated
FKBP14	non_indicated
AFF4	non_indicated
UBE2J1	non_indicated
FKBP11	non_indicated
TBX21	non_indicated
FAM3C	non_indicated
FBXO16	non_indicated
FBXO17	non_indicated
C20orf11	non_indicated
FAM153A	non_indicated
FAM153B	non_indicated
BCLAF1	non_indicated
PLA2G7	non_indicated
MARCKS	non_indicated
ERBB2	non_indicated
ATPAF1	non_indicated
FPR1	non_indicated
FPR2	non_indicated
FPR3	non_indicated
CGRRF1	non_indicated
FOXH1	non_indicated
TMEM107	non_indicated
ELL	non_indicated
SMPDL3A	non_indicated
TRANK1	non_indicated
LOC100506585	non_indicated
SPEN	non_indicated
FKBP1B	non_indicated
FKBP1A	non_indicated
FLJ12334	non_indicated
LOC100233156	non_indicated
STOML1	non_indicated
TIMM8A	non_indicated
NT5M	non_indicated
AHNAK	non_indicated
NT5E	non_indicated
MAP1A	non_indicated
MAP1B	non_indicated
UNC5A	non_indicated
LINC00597	non_indicated
CCP110	non_indicated
IMMP1L	non_indicated
SPICE1	non_indicated
FRMD3	non_indicated
LOC100652886	non_indicated
GNAQ	non_indicated
GNAS	non_indicated
MED13L	non_indicated
PTCD2	non_indicated
PTCD3	non_indicated
GNAZ	non_indicated
GNAL	non_indicated
HLTF	non_indicated
AGFG2	non_indicated
AGFG1	non_indicated
PDZK1IP1-AS1	non_indicated
DPF3	non_indicated
CRYGS	non_indicated
RPL18A	non_indicated
KRT1	non_indicated
CLEC18A	non_indicated
DACT1	non_indicated
ZNF383	non_indicated
VPS45	non_indicated
BCAP29	non_indicated
TMCC1	non_indicated
TMCC2	non_indicated
TMCC3	non_indicated
MGC23284	non_indicated
NMNAT1	non_indicated
RPL36A	non_indicated
PPCDC	non_indicated
EPB41L3	non_indicated
EPB41L2	non_indicated
EPB41L5	non_indicated
C8orf60	non_indicated
ACSS1	non_indicated
KIDINS220	non_indicated
VPS4B	non_indicated
RUNDC3A	non_indicated
LOC284926	non_indicated
FAM72A	non_indicated
DCAF13	non_indicated
MAGEH1	non_indicated
DCAF12	non_indicated
LRRN3	non_indicated
WNT6	non_indicated
LRRN1	non_indicated
PPP1R15A	non_indicated
TREML1	non_indicated
BLMH	non_indicated
LOC100286925	non_indicated
RECK	non_indicated
INSC	non_indicated
CRISPLD2	non_indicated
GPRIN3	non_indicated
LOC100130691	non_indicated
ROGDI	non_indicated
SPDYE2	non_indicated
INSR	non_indicated
HIST2H2BE	non_indicated
ZNF813	non_indicated
SPTBN1	non_indicated
ZNF814	non_indicated
FAM13A-AS1	non_indicated
KLF11	non_indicated
KLF10	non_indicated
RNF170	non_indicated
ASAP1-IT1	non_indicated
GBE1	non_indicated
LOC100129069	non_indicated
PCNA	non_indicated
SLC44A1	non_indicated
SLC44A3	non_indicated
ZBTB7A	non_indicated
MSI2	non_indicated
PCNP	non_indicated
PCNT	non_indicated
PCNX	non_indicated
LOC100506870	non_indicated
ENGASE	non_indicated
SAMHD1	non_indicated
RPA1	non_indicated
C1D	non_indicated
REC8	non_indicated
NDUFS3	non_indicated
NDUFS4	non_indicated
NDUFS5	non_indicated
NDUFS7	non_indicated
COQ5	non_indicated
C1R	non_indicated
ILF3	non_indicated
ILF2	non_indicated
HBM	non_indicated
FAM198B	non_indicated
ZRANB1	non_indicated
ZRANB3	non_indicated
ZRANB2	non_indicated
HBD	non_indicated
FAM132B	non_indicated
CHMP2B	non_indicated
MUC20	non_indicated
BOK	non_indicated
ATP9A	non_indicated
LOC100653017	non_indicated
BOC	non_indicated
RREB1	non_indicated
DENND2C	non_indicated
TPX2	non_indicated
LOC283788	non_indicated
DENND2D	non_indicated
WWC3	non_indicated
INPP4B	non_indicated
INPP4A	non_indicated
MICAL2	non_indicated
MICAL3	non_indicated
PHC1	non_indicated
LOC387895	non_indicated
PHC3	non_indicated
PHC2	non_indicated
MFAP3L	non_indicated
TRMT10C	non_indicated
ZNF362	non_indicated
ZNF367	non_indicated
PRF1	non_indicated
MGMT	non_indicated
MGC40069	non_indicated
KCTD20	non_indicated
H2AFV	non_indicated
KCTD21	non_indicated
LOC100216546	non_indicated
LOC100216545	non_indicated
RNF8	non_indicated
RNF6	non_indicated
NCAPG2	non_indicated
LRRC69	non_indicated
CLTA	non_indicated
CLTC	non_indicated
ADRBK2	non_indicated
DPEP3	non_indicated
LOC100507047	non_indicated
C7orf34	non_indicated
NMD3	non_indicated
C7orf31	non_indicated
NLRX1	non_indicated
GLIPR1	non_indicated
USP27X	non_indicated
EPM2A	non_indicated
ISCA1	non_indicated
LOC100505915	non_indicated
FAM118B	non_indicated
ZCCHC24	non_indicated
RECQL	non_indicated
SIK1	non_indicated
MAP7D3	non_indicated
KCP	non_indicated
PRKRIR	non_indicated
ACTR6	non_indicated
ACTR5	non_indicated
XPNPEP3	non_indicated
ACTR3	non_indicated
ACTR2	non_indicated
RECQL5	non_indicated
WBSCR22	non_indicated
MCOLN2	non_indicated
PDE3B	non_indicated
NAP1L2	non_indicated
MSL2	non_indicated
POLDIP3	non_indicated
GP1BA	non_indicated
GP1BB	non_indicated
RAPGEFL1	non_indicated
GTDC2	non_indicated
GTDC1	non_indicated
ALDH18A1	non_indicated
ICOS	non_indicated
HHEX	non_indicated
TGS1	non_indicated
NGFRAP1	non_indicated
ANKS1A	non_indicated
ZNF593	non_indicated
PITPNM2	non_indicated
CPED1	non_indicated
ADAM10	non_indicated
LOC100289251	non_indicated
ADAM17	non_indicated
ADAM19	non_indicated
CPNE8	non_indicated
HAGH	non_indicated
CPNE2	non_indicated
LOC646214	non_indicated
CPNE5	non_indicated
LOC100506328	non_indicated
DNMT3A	non_indicated
AAK1	non_indicated
SNRPN	non_indicated
GDE1	non_indicated
SNRPA	non_indicated
SNRPF	non_indicated
SNRPE	non_indicated
PLAC8L1	non_indicated
UCP2	non_indicated
ZDHHC14	non_indicated
ZDHHC17	non_indicated
ZDHHC16	non_indicated
ZDHHC11	non_indicated
ZDHHC13	non_indicated
PRKAG2	non_indicated
ZDHHC19	non_indicated
PCSK7	non_indicated
PCSK5	non_indicated
HIPK3	non_indicated
HIPK2	non_indicated
HIPK1	non_indicated
LEMD3	non_indicated
NAPG	non_indicated
C3orf18	non_indicated
NAPA	non_indicated
C3orf14	non_indicated
LARP1	non_indicated
LARP4	non_indicated
LARP7	non_indicated
LOC100507212	non_indicated
LOC100507213	non_indicated
TC2N	non_indicated
ZNF174	non_indicated
ZNF177	non_indicated
LOC401320	non_indicated
DDX47	non_indicated
LMLN	non_indicated
PTEN	non_indicated
ATMIN	non_indicated
EIF5A2	non_indicated
LGR6	non_indicated
ELAVL1	non_indicated
CDKN1C	non_indicated
CDKN1A	non_indicated
UBE2D2	non_indicated
UBE2D3	non_indicated
UBE2D1	non_indicated
MLL3	non_indicated
SETBP1	non_indicated
MLL5	non_indicated
SAMSN1	non_indicated
DNAI2	non_indicated
LOC643529	non_indicated
FAM104A	non_indicated
FAM104B	non_indicated
NFIL3	non_indicated
CCDC50	non_indicated
CCDC56	non_indicated
CCDC58	non_indicated
TMEM128	non_indicated
NUFIP2	non_indicated
VPRBP	non_indicated
PREPL	non_indicated
CABP7	non_indicated
CABP5	non_indicated
SLC35B3	non_indicated
FBXO30	non_indicated
SLC35B4	non_indicated
FBXO32	non_indicated
FBXO33	non_indicated
HBE1	non_indicated
CNRIP1	non_indicated
FBXO38	non_indicated
PLGLB1	non_indicated
DHCR24	non_indicated
LOC282997	non_indicated
PELP1	non_indicated
MBOAT2	non_indicated
MBOAT1	non_indicated
MBOAT7	non_indicated
CLUAP1	non_indicated
HINT1	non_indicated
HINT2	non_indicated
SLC25A51	non_indicated
SDPR	non_indicated
IL23A	non_indicated
DTX3	non_indicated
CDC34	non_indicated
ALAS2	non_indicated
BIRC6	non_indicated
PTTG1	non_indicated
S100A7	non_indicated
S100A6	non_indicated
KIAA0513	non_indicated
LONRF3	non_indicated
THEM4	non_indicated
LONRF1	non_indicated
EIF5	non_indicated
KIAA1609	non_indicated
CDCA7L	non_indicated
APBA2	non_indicated
SPIN2A	non_indicated
LINC00266-1	non_indicated
MORC2	non_indicated
MORC3	non_indicated
MORC4	non_indicated
CHKB-CPT1B	non_indicated
WRB	non_indicated
CCDC42B	non_indicated
ATP13A1	non_indicated
ATP13A3	non_indicated
DYNC1I2	non_indicated
FAM60A	non_indicated
RAI2	non_indicated
SKA2	non_indicated
PRKRA	non_indicated
C1orf116	non_indicated
CBWD1	non_indicated
ADAT3	non_indicated
MT1P2	non_indicated
LGALS3BP	non_indicated
TTBK2	non_indicated
PLEKHO1	non_indicated
E2F6	non_indicated
E2F3	non_indicated
E2F2	non_indicated
E2F1	non_indicated
