Gene	Status
AI348009	non_indicated
TP53TG1	non_indicated
RND1	non_indicated
RND3	non_indicated
CTNNBIP1	non_indicated
PPP3CA	non_indicated
PPP3CB	non_indicated
PPP3CC	non_indicated
LIF	non_indicated
KIAA1012	non_indicated
LRRC40	non_indicated
LRRC42	non_indicated
LRRC47	non_indicated
B3GNT1	non_indicated
B3GNT2	non_indicated
B3GNT3	non_indicated
FNDC4	non_indicated
GPATCH2	non_indicated
ADRA2A	non_indicated
FGFR1	non_indicated
TBCCD1	non_indicated
DAAM1	non_indicated
DAAM2	non_indicated
HLA-DRB6	non_indicated
PSRC1	non_indicated
HLA-DRB4	non_indicated
GUK1	non_indicated
YIF1A	non_indicated
NDUFA4L2	non_indicated
MTCH2	non_indicated
FN1	non_indicated
SYT1	non_indicated
SYK	non_indicated
TIAL1	non_indicated
OBFC2B	non_indicated
ATP5O	non_indicated
BG281679	non_indicated
TASP1	non_indicated
FUBP3	non_indicated
ATP5L	non_indicated
SCHIP1	non_indicated
FAM189A2	non_indicated
MARCO	non_indicated
SAP30	non_indicated
NBL1	non_indicated
NES	non_indicated
PALMD	non_indicated
APOL6	non_indicated
ANGPT2	non_indicated
ANGPT1	non_indicated
C1orf56	non_indicated
C1orf54	non_indicated
FLJ20674	non_indicated
ICMT	non_indicated
ATP6V0A4	non_indicated
ATP6V0A1	non_indicated
ATP6V0A2	non_indicated
TBC1D1	non_indicated
TBC1D4	non_indicated
ATM	non_indicated
SCAMP3	non_indicated
TBC1D5	non_indicated
ATR	non_indicated
ITGBL1	non_indicated
ATP5A1	non_indicated
TTC28	non_indicated
CARS	non_indicated
PODXL2	non_indicated
IL6R	non_indicated
ENO1	non_indicated
ENO2	non_indicated
ENO3	non_indicated
SYCP2	non_indicated
TAOK3	non_indicated
LLGL2	non_indicated
SLC22A18	non_indicated
ACOX2	non_indicated
SLC22A17	non_indicated
ACOX1	non_indicated
PTK2	non_indicated
PTK7	non_indicated
PTK6	non_indicated
RABGAP1	non_indicated
PRKAA1	non_indicated
ITGB3BP	non_indicated
MCL1	non_indicated
GAL3ST1	non_indicated
SORBS3	non_indicated
SORBS2	non_indicated
ODC1	non_indicated
C3orf37	non_indicated
ARHGDIA	non_indicated
USH1C	non_indicated
NANS	non_indicated
MATN2	non_indicated
ENDOG	non_indicated
STIL	non_indicated
CES1	non_indicated
CES3	non_indicated
KDM1	non_indicated
KBTBD11	non_indicated
FFAR2	non_indicated
LMNA	non_indicated
BDH2	non_indicated
BDH1	non_indicated
DDX23	non_indicated
DDX21	non_indicated
IL17RB	non_indicated
DDX27	non_indicated
DDX24	non_indicated
GULP1	non_indicated
DDX28	non_indicated
ZNF91	non_indicated
ZNF93	non_indicated
SAC3D1	non_indicated
FKBP14	non_indicated
UBE2J1	non_indicated
C20orf19	non_indicated
FKBP11	non_indicated
FAM3A	non_indicated
C12orf10	non_indicated
FBXO11	non_indicated
C20orf11	non_indicated
AFF1	non_indicated
GGPS1	non_indicated
PRB3	non_indicated
PROX1	non_indicated
C9orf167	non_indicated
PLA2G6	non_indicated
PLA2G7	non_indicated
PLA2G5	non_indicated
ERBB2	non_indicated
ERBB3	non_indicated
SHC1	non_indicated
ERBB4	non_indicated
FPR1	non_indicated
FPR3	non_indicated
CGRRF1	non_indicated
TMEM100	non_indicated
SMPDL3B	non_indicated
GHITM	non_indicated
SMPDL3A	non_indicated
SPEN	non_indicated
FKBP1B	non_indicated
FKBP1A	non_indicated
SPEG	non_indicated
TIMM8B	non_indicated
CDC16	non_indicated
PDE4DIP	non_indicated
AHNAK	non_indicated
NT5E	non_indicated
UNC50	non_indicated
LOC100133109	non_indicated
MAP1A	non_indicated
MAP1B	non_indicated
IGSF9B	non_indicated
MAP1S	non_indicated
GNAQ	non_indicated
GNAS	non_indicated
MED13L	non_indicated
PTCD3	non_indicated
GNAL	non_indicated
HLTF	non_indicated
AGFG1	non_indicated
DPF2	non_indicated
ASNA1	non_indicated
UBA1	non_indicated
SIX1	non_indicated
KRT7	non_indicated
KRT5	non_indicated
KRT4	non_indicated
KRT8	non_indicated
DACT1	non_indicated
VPS45	non_indicated
VPS41	non_indicated
BCAP29	non_indicated
TMCC1	non_indicated
PP14571	non_indicated
NMNAT2	non_indicated
EPB41L1	non_indicated
EPB41L3	non_indicated
EPB41L2	non_indicated
ACSS3	non_indicated
UBE2K	non_indicated
PLEKHM1	non_indicated
VPS4B	non_indicated
PCOLCE2	non_indicated
SLC43A3	non_indicated
IGLJ3	non_indicated
SLC43A1	non_indicated
DFNA5	non_indicated
MAGEH1	non_indicated
WNT2	non_indicated
WNT4	non_indicated
PPP1R15A	non_indicated
DDOST	non_indicated
GPAA1	non_indicated
RECK	non_indicated
TYRP1	non_indicated
ROGDI	non_indicated
INSR	non_indicated
RUNX1T1	non_indicated
HIST2H2BE	non_indicated
SPTBN2	non_indicated
SPTBN1	non_indicated
ZNF814	non_indicated
KLF13	non_indicated
KLF11	non_indicated
KLF10	non_indicated
RNF170	non_indicated
TFAP2A	non_indicated
TFAP2C	non_indicated
GBE1	non_indicated
PCNA	non_indicated
ZBTB7A	non_indicated
PCNP	non_indicated
PCNT	non_indicated
PCNX	non_indicated
ENGASE	non_indicated
SAMHD1	non_indicated
FAM149A	non_indicated
RPA1	non_indicated
