Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
MODULE_317	7/446	0.25161472888604	0.74151046120556	-0.79118211126163	0.23661567667386	UGCG;BCL2L13;ASXL2;STRN;SOX6;SNX5;RPAP3
MODULE_17	6/367	0.24614038321213	0.74151046120556	-0.78358675585822	0.23434416404387	UGCG;WEE1;EBP;DHX9;SNRPA1;CD3D
MORF_RAB6A	2/67	0.18321862600981	0.74151046120556	-0.77563588362098	0.23196632841313	MDH1;TCEA1
MORF_CAMK4	5/294	0.2494907737023	0.74151046120556	-0.77040969895544	0.23040335422115	USP46;FNTB;IL16;MAP2K7;RBMS3
GNF2_CCNA2	2/68	0.1872962154813	0.74151046120556	-0.75065067220709	0.22449410094313	SMC2;TMPO
MORF_EI24	3/142	0.22543032467173	0.74151046120556	-0.72778790467247	0.21765662429416	MDH1;TCEA1;LSM4
MORF_BCL2	4/222	0.25235591930725	0.74151046120556	-0.70273740498776	0.21016487132155	AGPS;FNTB;NF1;ADCY3
MODULE_255	7/456	0.26902721448031	0.74151046120556	-0.70072546331572	0.20956316795468	UGCG;BCL2L13;ASXL2;STRN;SOX6;SNX5;RPAP3
GCM_NF2	5/301	0.26447383330273	0.74151046120556	-0.69022957632179	0.20642420491695	TOX4;SPTLC1;IMPAD1;FNTB;ZNF644
MORF_PRKAR1A	3/142	0.22543032467173	0.74151046120556	-0.68845968283016	0.20589488993346	TMEM59;GMFB;MDH1
GNF2_PCNA	2/68	0.1872962154813	0.74151046120556	-0.67935048942934	0.20317063981479	SMC2;TMPO
MORF_CDK2	2/71	0.19960284133456	0.74151046120556	-0.63831634100188	0.19089872079805	EBP;TCEA1
MORF_TPR	3/144	0.2314002039943	0.74151046120556	-0.61083065634473	0.18267868677374	SFSWAP;PLIN3;RAF1
GCM_CBFB	2/70	0.19548911661276	0.74151046120556	-0.60084526997886	0.17969239712161	DHX9;TCEA1
GCM_HBP1	2/69	0.19138664620015	0.74151046120556	-0.59199754161404	0.17704634230784	RRN3;ZNF644
MODULE_493	2/69	0.19138664620015	0.74151046120556	-0.57208301444287	0.17109058413893	SMURF2;SOCS5
