source	target
TNFRSF17	ANKRD36BP2
TNFRSF17	GLDC
TNFRSF17	ITGA8
TNFRSF17	TSHR
TNFRSF17	IRF4
TNFRSF17	IGH@
IRF4	EAF2
IRF4	ORAI2
IRF4	CD79A
IGH@	AMPD1
LRP4	EGLN3
C5orf56	HCG27
C5orf56	LOC730101
C5orf56	FLT3LG
C5orf56	ERV3-2
C5orf56	DIO3
C5orf56	PATL2
C5orf56	LOC100292909
LOC730101	KDM4C
DIO3	RASD1
PATL2	LOC100507322
WDR46	RANGAP1
WDR46	EIF3B
RANGAP1	SAP30BP
RANGAP1	CCDC88B
EIF3B	ADCK1
EIF3B	DHRS13
EIF3B	ATRIP
LOC100288602	CDR1
SERPINB8	CCRN4L
WBP11	AGA
WBP11	MALT1
WBP11	TYMS
WBP11	PPP3CC
LOC100505813	CTSK
LOC100505813	ADAMTS2
LOC100505813	CD93
LOC100505813	COL6A3
LOC100505813	PDGFRB
LOC100505813	VCAN
LOC100505813	VIM
LOC100505813	COL5A2
LOC100505813	DKK3
LOC100505813	COL1A2
LOC100505813	ZNF469
CTSK	PTPN13
CTSK	CYB5R2
CTSK	THY1
CTSK	SYT11
CTSK	TWIST1
CTSK	S100B
CD93	TMTC1
CD93	CTHRC1
CD93	TEK
CD93	FBN1
CD93	ELTD1
CD93	GPR116
CD93	RPS6KA2
CD93	GPR4
CD93	GJC1
CD93	CYP1B1
CD93	ADAMTS12
CD93	BCL6B
CD93	IL1RL1
CD93	FOXC1
CD93	THBD
