source	interaction_type	target
PPP1CC	bn	FTSJD1
PPP1CC	bn	GNPDA2
PPP1CC	bn	GFM2
ACTR2	bn	YWHAZ
ACTR2	bn	RAB11A
ACTR2	bn	RAB14
ACTR2	bn	LOC100652987
ACTR2	bn	GOLPH3
ACTR2	bn	KPNA4
ACTR2	bn	RSPRY1
ACTR2	bn	EAF1
ACTR2	bn	PPP1CB
ARF3	bn	LOC100506234
ARF3	bn	GALK1
SRSF2	bn	DFFB
DPYSL2	bn	NREP
DPYSL2	bn	PTPRO
DPYSL2	bn	ATP2A2
DPYSL2	bn	UBE2E2
BZW1	bn	KLHL9
RPS15A	bn	RPS29
RPS15A	bn	NDUFA4
STMN1	bn	FEN1
LRP1	bn	STAB1
PEA15	bn	HLA-DRB1
ODC1	bn	PIM1
HSPA1A	bn	MAPK1
HSPA1A	bn	MTF1
HSPA1A	bn	MAP4K4
HSPA1A	bn	SSH1
HSPD1	bn	HSPH1
GSTP1	bn	PEPD
GSTP1	bn	CDK5
GSTP1	bn	FADS1
GSTP1	bn	PLXND1
GSTP1	bn	CACNA2D3
GSTP1	bn	LOC100505622
SNRPD2	bn	RPL35
SNRPD2	bn	CNPY2
SNRPD2	bn	EMG1
SNRPD2	bn	NDUFB2
SNRPD2	bn	C11orf31
GNB2	bn	VASP
GNB2	bn	SRF
GNB2	bn	RARA
GNB2	bn	TECPR2
GNB2	bn	PPP4C
GNB2	bn	TRIOBP
GNB2	bn	PSENEN
GNB2	bn	CPNE2
GNB2	bn	LOC643529
RAB11A	bn	BMP2K
RPL18A	bn	SLC25A36
RPL18A	bn	LOC550643
MIR1292	bn	PLCG1
MIR1292	bn	LZTR1
MIR1292	bn	GCN1L1
MIR1292	bn	ASB1
MIR1292	bn	ECHDC2
MIR1292	bn	MRPL46
MIR1292	bn	MEI1
MIR1292	bn	LOC100133190
MIR1292	bn	JMJD7
CCT4	bn	IARS
CCT4	bn	GPX7
CCT4	bn	PPA1
CCT4	bn	MINOS1
EPAS1	bn	IL1RL1
RPL23	bn	RPS27
RPL23	bn	COX7C
TRA2B	bn	M6PR
TRA2B	bn	SRFBP1
HDGF	bn	ATP1B2
HDGF	bn	VTI1B
HDGF	bn	SMOX
HDGF	bn	SSBP3
HDGF	bn	TSTA3
MGEA5	bn	DCBLD2
MGEA5	bn	FAM209A
MGEA5	bn	CAHM
MGEA5	bn	MIR101-1
MGEA5	bn	LOC401320
MGEA5	bn	PAN3-AS1
M6PR	bn	TSPAN31
CCT3	bn	SEPW1
CCT3	bn	RAN
CCT3	bn	EBNA1BP2
CCT3	bn	ADSL
CCT3	bn	LARS2
CCT3	bn	FBL
CCT3	bn	UTP14A
EIF4A2	bn	OGT
EIF4A2	bn	SNHG10
KTN1	bn	HSPA14
PHC2	bn	NUDT16P1
PHC2	bn	SLA
PHC2	bn	INHBB
PHC2	bn	USP10
PHC2	bn	TMCC3
PHC2	bn	FOXQ1
PHC2	bn	FGD4
PHC2	bn	LHX4
DEK	bn	GPR65
RPL5	bn	EEF1B2
RPL5	bn	ZNF420
GLUD1	bn	PUS7
GLUD1	bn	METTL21A
CCND2	bn	MAP3K4
CCND2	bn	ZNF792
SSRP1	bn	ABCF1
SSRP1	bn	EXOSC10
SSRP1	bn	ATP1A1
SSRP1	bn	NOB1
SSRP1	bn	SRP68
SSRP1	bn	PIGU
RPL31	bn	COX6C
RPL31	bn	RPL17
RPL31	bn	RPS17
RPL31	bn	C8orf59
ABLIM1	bn	LDHB
ABLIM1	bn	ZBTB24
SERP1	bn	DPH3P1
SERP1	bn	FAM92A1
MDH1	bn	ALG14
MDH1	bn	GLO1
MDH1	bn	PSMC2
MDH1	bn	CCT2
MDH1	bn	HSPE1
MDH1	bn	ADH5
MDH1	bn	MRPL39
MDH1	bn	TOMM5
MDH1	bn	C1orf31
CD59	bn	PLSCR1
SERPING1	bn	4-Sep
HIF1A	bn	RLIM
HIF1A	bn	RBMXL1
TRIM28	bn	USP11
TRIM28	bn	KLC2
TRIM28	bn	HHLA3
TRIM28	bn	SERGEF
TRIM28	bn	WDR74
TRIM28	bn	9-Mar
IPO7	bn	GLUD1
IPO7	bn	ABCE1
IPO7	bn	RGL1
IPO7	bn	SERBP1
IPO7	bn	TFB2M
CKAP4	bn	MAPK1
AARS	bn	MTHFD1
AARS	bn	ACACA
AARS	bn	SPATS2
PAICS	bn	NCL
PAICS	bn	PRPS1
EIF1AX	bn	BEX4
EIF1AX	bn	EEF1E1-MUTED
DSTN	bn	ICMT
CD99	bn	LOC100505828
ADD3	bn	CEP44
HADH	bn	LINC00526
RAD23A	bn	SLC1A5
RAD23A	bn	RAB3IL1
TGM2	bn	CSDA
PSMF1	bn	TESC
PSMF1	bn	NINJ2
PSMF1	bn	TTC25
HNRNPA0	bn	ZNF2
MYL9	bn	SAMD14
STOM	bn	CREG1
PSMC2	bn	MRPL35
SF3B1	bn	ZNF638
SF3B1	bn	CLK1
SF3B1	bn	GNG8
SMARCC1	bn	CALM1
NHP2L1	bn	FKBP4
BCLAF1	bn	ANKRD12
RBBP7	bn	ZNF57
RBBP7	bn	AFG3L2
