source	target
ARD1A	DKC1
ARD1A	HAUS7
ARD1A	IRAK1
ARD1A	LAGE3
AREG	ANXA1
AREG	EREG
AREG	TIPARP
ARF1	ADAM15
ARF1	ADIPOR1
ARF1	ALDH18A1
ARF1	DEDD
ARF1	EPRS
ARF1	HPCAL1
ARF1	KDELR1
ARF1	KLHL12
ARF1	LAD1
ARF1	MAPKAPK2
ARF1	SDHC
ARF1	TAGLN2
ARF4	ABHD5
ARF4	ARL6IP5
ARF4	RHOA
ARF4	YIPF5
ARF5	GNB2
ARFGAP1	LAMA5
ARFGEF1	PXMP3
ARFGEF1	TRAM1
ARFGEF1	UBXN2B
ARFGEF1	YWHAZ
ARFGEF2	KIAA1219
ARFGEF2	NCOA3
ARFIP1	ATMIN
ARFIP1	C4orf41
ARFIP1	CDS1
ARFIP1	CLCN3
ARFIP1	GALNT7
ARFIP1	KLHL2
ARFIP1	LRBA
ARFIP1	MAP9
ARFIP1	RPS3A
ARFIP1	SMAD1
ARFIP1	SMARCA5
ARFIP2	HRAS
ARFIP2	PTDSS2
ARGLU1	ANKRD10
ARGLU1	ARHGEF7
ARGLU1	RBM26
ARGLU1	UPF3A
ARHGAP12	KIF5B
ARHGAP15	IRF8
ARHGAP15	ITM2A
ARHGAP15	KLRB1
ARHGAP15	MYCBP2
ARHGAP15	PRKCH
ARHGAP25	BIN2
ARHGAP25	CCDC69
ARHGAP25	CCND2
ARHGAP25	CD48
ARHGAP25	DGKA
ARHGAP25	LGALS2
ARHGAP25	MFNG
ARHGAP25	TRAF3IP3
ARHGAP26	GALNT7
ARHGDIA	BCL2L1
ARHGDIA	CALR
ARHGDIA	CNOT3
ARHGDIA	MAPKAPK2
ARHGDIA	SH3GLB2
ARHGDIA	SORBS3
ARHGDIA	YWHAE
ARHGDIB	IPCEF1
ARHGDIB	RGL1
ARHGEF12	ATP5L
ARHGEF16	CASP9
ARHGEF16	EML2
ARHGEF16	MST1
ARHGEF16	SLC37A1
ARHGEF18	2-Mar
ARHGEF3	PTPRG
ARHGEF5	EPHA1
ARHGEF6	C14orf139
ARHGEF6	CD44
ARHGEF6	NLRP1
ARHGEF6	SPATA2L
ARHGEF7	CARKD
ARHGEF9	LOC92249
ARHGEF9	MECP2
ARID4B	ATP2B4
ARID4B	DUSP10
ARID4B	IVNS1ABP
ARID4B	KDM5B
ARID4B	NEK7
ARID4B	SRP9
ARID4B	TMEM63A
ARID4B	TTC13
ARID4B	ZC3H11A
ARID4B	ZNF124
ARIH2	SETD2
ARL1	ARPC3
ARL1	CNPY2
ARL1	FOXO3
ARL1	GFPT1
ARL1	NUP37
ARL1	RAB1A
ARL14	APOL1
ARL14	LAMA3
ARL14	SLC3A1
ARL14	VNN1
ARL6IP5	ARL2BP
ARL6IP5	CFLAR
ARL6IP5	CMTM6
ARL6IP5	CPT1A
ARL6IP5	HIC2
ARL6IP5	MYD88
ARL6IP5	OSTF1
ARL6IP5	RAB27A
ARL6IP5	TGFBR2
ARL8B	EDEM1
ARMC1	IMPAD1
ARMC1	MTFR1
ARMC1	PXMP3
ARMC1	RAB2A
ARMC1	RB1CC1
ARMC1	UBE2V2
ARMC8	MSL2
ARMCX1	ARMCX2
ARMCX1	PKIA
ARMCX2	ARMCX3
ARMCX3	WBP5
ARNTL2	BCAM
ARNTL2	CACNA1D
ARNTL2	DAAM2
ARNTL2	DKK1
ARNTL2	FOSL1
ARNTL2	GGTLC1
ARNTL2	GJB3
ARNTL2	LAMC2
ARNTL2	LASS4
ARNTL2	LECT1
ARNTL2	NCALD
ARNTL2	RHOF
ARNTL2	SALL2
ARNTL2	SOD2
ARNTL2	STEAP1
ARPC1A	AP1S1
ARPC1A	ARPC1B
ARPC1A	C7orf49
ARPC1A	FIS1
ARPC1A	UBE2H
ARPC1B	ABCA5
ARPC1B	DTX2
ARPC1B	LIMK1
ARPC2	RBMS1
ARPC3	CCDC53
ARPC5L	RPL12
ARRB1	C12orf49
ARRB1	SNTB1
ARSD	MAGED2
ARSE	ACSM3
ARSE	ARSD
ARSE	CPB2
ARSE	GRB14
ARSE	HAVCR1
ARSE	HKDC1
ARSE	SPINK1
ARSE	TMEM62
ASAP1	GTDC1
ASAP2	SPTB
ASAP3	EFHD1
ASCC1	SEC23IP
ASCC2	DRG1
ASCC2	MTMR3
ASCC2	THOC5
ASCL1	AL049328
ASCL1	BAALC
ASCL1	CALB1
ASCL1	CALCA
ASCL1	DDC
ASCL1	DLL3
