source	target
PTBP2	CCT6P1
DPYD	SLC8A1
DPYD	FAM8A1
AGL	NUBPL
SLC35A3	PFKFB2
SLC35A3	SLC2A13
SLC35A3	COG3
SLC35A3	DOPEY2
SLC35A3	PRKCI
SLC35A3	GALNT7
HIAT1	ANXA7
TRMT13	RBBP4
DBT	WWP1
CDC14A	DEPDC7
CDC14A	LINC00294
CDC14A	C14orf28
CDC14A	PAPD5
CDC14A	SMURF2
CDC14A	ASTE1
VCAM1	RBP5
VCAM1	SCARA3
EXTL2	RCBTB2
SLC30A7	SLC5A3
SLC30A7	PDE4D
SLC30A7	POLK
S1PR1	SELL
S1PR1	AEN
RNPC3	CLUHP3
RNPC3	RGL4
AMY2B	CROCCP2
AMY2B	CSAD
AMY2B	MAPKAPK5-AS1
AMY2B	SRSF5
AMY2B	DKFZP686I15217
AMY2B	ADHFE1
VAV3	PDCD4
VAV3	PDGFD
VAV3	PLCD1
SLC25A24	AP5M1
SLC25A24	SLC35F5
SLC25A24	GPD2
SLC25A24	LARP1B
FAM102B	LRRC8B
FAM102B	LOC729176
PRPF38B	KCTD6
STXBP3	KTN1
STXBP3	DDX1
GPSM2	GALNT4
GPSM2	PIGB
GPSM2	ALG1
GPSM2	ERI2
GPSM2	TMEM97
GPSM2	AGBL5
KIAA1324	KCNQ1
KIAA1324	PTGDR2
KIAA1324	GALNT8
KIAA1324	SLC7A8
KIAA1324	DEPTOR
CYB561D1	SMYD4
CYB561D1	ZXDC
GSTM1	GSTM2P1
EPS8L3	CAMSAP3
EPS8L3	SEMA3B
EPS8L3	CDHR2
STRIP1	ABHD15
CD53	AIM2
CD53	SELL
CD53	HVCN1
CD53	ARHGAP25
CD53	RGS19
DENND2D	ACPL2
CHI3L2	CCR7
CHI3L2	CXCL13
C1orf162	CSTA
RAP1A	COMMD3-BMI1
RAP1A	RSRC1
RAP1A	STARD3NL
RAP1A	ZNF277
DDX20	LCMT2
CTTNBP2NL	MRPL55
CTTNBP2NL	HFE
CTTNBP2NL	STS
RHOC	S100A14
RHOC	SMIM6
RHOC	CRB3
RHOC	PRRG2
RHOC	VAMP8
RHOC	TMBIM1
RHOC	SDCBP2
RHOC	HIST1H1C
RHOC	AGPAT2
MAGI3	FNBP1L
MAGI3	SHROOM3
PHTF1	LAX1
RSBN1	KIAA1147
AP4B1	TRMT13
AP4B1	DND1
BCL2L15	DARC
BCL2L15	FAM110C
BCL2L15	RFK
HIPK1	WAPAL
HIPK1	LEMD3
HIPK1	YPEL2
HIPK1	C18orf25
TRIM33	CCNT2
NRAS	MIER1
NRAS	GMFB
NRAS	ESF1
SIKE1	RUFY2
SIKE1	FAM179B
SIKE1	C18orf25
SIKE1	DCAF17
SIKE1	ZNF322
ATP1A1	PRKCZ
ATP1A1	A1BG
ATP1A1	HADHB
ATP1A1	GUCD1
ATP1A1	ACO2
ATP1A1	ANO10
ATP1A1	NUDT9
ATP1A1	ZDHHC9
IGSF3	PTPRF
IGSF3	ZSWIM5
IGSF3	ZBTB7B
IGSF3	OIT3
IGSF3	DNMBP
IGSF3	USP30
IGSF3	ADCY9
IGSF3	LOC440894
IGSF3	NEURL1B
IGSF3	SLC22A23
IGSF3	FOXO4
CD2	P2RX5
PTGFRN	FAM84B
TTF2	CENPF
TTF2	KDM1B
MAN1A2	PIK3C2A
MAN1A2	ABHD2
MAN1A2	ZBTB38
MAN1A2	ITGA1
FAM46C	SLAMF7
FAM46C	PDK1
FAM46C	PRDM1
WDR3	NOLC1
WDR3	TTC27
HSD3B1	GAL3ST1
REG4	HID1
NOTCH2	CAMK1D
NOTCH2	R3HDM1
NOTCH2	SLC23A2
EMBP1	SLC16A4
EMBP1	CYP2C19
EMBP1	WFDC2
EMBP1	EMB
NBPF9	ZBTB40
NBPF9	NBPF14
NBPF9	FAM208B
NBPF10	NBPF9
NBPF10	NBPF15
NBPF10	FAN1
NBPF10	LOC100271836
NBPF10	ZNF550
NBPF10	TRIO
NBPF10	SMA4
LIX1L	TGFBR2
PIAS3	FAM219A
PIAS3	NPR2
CD160	GZMA
CD160	TARP
PDZK1	DEPDC7
PDZK1P1	SLC23A1
PRKAB2	CYP4V2
PRKAB2	IFRD1
PDIA3P	IDH2
PDIA3P	ETS2
PDIA3P	ALAS1
FMO5	ACADM
FMO5	ALDH18A1
FMO5	ACVR2A
FMO5	USP37
FMO5	GPR160
FMO5	SPATA24
FMO5	STAU2
FMO5	MATN2
BCL9	DMWD
NBPF24	PTOV1-AS1
NBPF14	RNMT
NBPF16	NBPF24
NBPF16	NBPF14
NBPF16	UPF3A
NBPF16	NPIP
NBPF16	HSPBAP1
NBPF16	ZNF783
NBPF16	DDX26B
FCGR1C	FCER1G
FCGR1C	OASL
PPIAL4A	PPIAP30
FCGR1A	FCGR1C
HIST2H4B	HIST2H4A
HIST2H2AA3	HIST2H2AA4
HIST2H2AA3	HIST2H2AC
MTMR11	TRIM3
MTMR11	ABCA5
MTMR11	AGXT2L2
PLEKHO1	SH2D2A
PLEKHO1	CLEC2B
PLEKHO1	BATF
PLEKHO1	PCBP3
PLEKHO1	DOK2
ANP32E	TRIM59
RPRD2	UBE4B
RPRD2	ATXN7L3B
RPRD2	TBC1D5
RPRD2	PHF3
RPRD2	SMARCA2
ECM1	QSOX1
MCL1	GZF1
CTSS	LACTB
CTSS	HPSE
CTSK	NPL
CTSK	CHI3L1
CTSK	GALNT18
CTSK	TMEM132A
CTSK	LOC100130776
CTSK	GLT8D2
CTSK	MEOX1
CTSK	TEAD2
CTSK	SULF2
CTSK	IGFBP7
CTSK	GPX8
SETDB1	GON4L
CERS2	CNDP2
CERS2	EPDR1
CDC42SE1	ADPGK
CDC42SE1	CYTH1
CDC42SE1	TNFSF14
CDC42SE1	ARRDC2
CDC42SE1	MSL3P1
CDC42SE1	ERICH1
CDC42SE1	MSL3
CDC42SE1	RAP2C
TNFAIP8L2	C1orf162
TNFAIP8L2	PLEKHO1
TNFAIP8L2	ARHGAP22
TNFAIP8L2	LDHB
TNFAIP8L2	LYSMD2
TNFAIP8L2	AIF1
TNFAIP8L2	LOC100507463
TNFAIP8L2	DNAJC5B
PIP5K1A	LRCH1
ZNF687	ZNF646
ZNF687	CXXC5
RFX5	TRIM22
RFX5	CIITA
RFX5	SCIMP
RFX5	FTSJD2
SELENBP1	AIFM3
CGN	STPG1
CGN	INADL
CGN	MTMR11
CGN	TUFT1
CGN	C1orf106
CGN	APPL2
CGN	NR1I2
S100A10	SFN
S100A11	C4BPB
S100A11	ANKRD22
S100A11	FKBP11
S100A11	MANF
S100A9	ALPL
S100A9	AQP9
S100A9	LILRA5
S100A8	S100A9
S100A6	S100A10
S100A4	RAB34
S100A4	LST1
S100A4	RARRES2
S100A13	STK19
INTS3	NXF1
INTS3	IKBKAP
GATAD2B	MSL2
GATAD2B	CASP2
DENND4B	RBM19
DENND4B	CYTH1
DENND4B	PBX2
DENND4B	RALGDS
RPS27	LOC728875
RPS27	RPL31P11
RPS27	GAS5
RPS27	CD3D
RPS27	RPL21P28
UBAP2L	ESYT1
UBAP2L	PABPC3
UBAP2L	NOP14
UBAP2L	LARP1
ATP8B2	LRRC8C
ATP8B2	LIX1L
ATP8B2	SLC41A1
ATP8B2	PDE3B
ATP8B2	ZNF275
ADAR	DPYD
ADAR	TRIM5
ADAR	PATL1
ADAR	ATP11A
ADAR	SNTB2
ADAR	ANKFY1
ADAR	IFIH1
ADAR	ZNFX1
ADAR	CCR5
ZBTB7B	PRKCD
ZBTB7B	HIST1H2AC
ZBTB7B	URGCP
ZBTB7B	ACHE
MUC1	BATF2
MUC1	GPX2
MUC1	EPS8L1
MUC1	SLPI
MUC1	CBR3
THBS3	LAMB2
CLK2	PI4KAP1
HCN3	ZSWIM8
HCN3	HIP1R
ASH1L	VPS13D
ASH1L	SIK2
