source target
FCN3 SRPX2
FCN3 ADRB1
PDGFC FHL1
TERF1 DNAJC15
TERF1 FAM210A
TERF1 DEGS1
TERF1 COMMD2
PWWP2B FAM78B
SELE MMP13
FOXO3 LRP6
FOXO3 ZNF703
FOXO3 TTLL12
LOC100506591 CD200
ACBD5 DEPTOR
ACBD5 TOP3A
ACBD5 LY75
RALGAPA1 ZC3H12B
RALGAPA1 KDM5B
RALGAPA1 CD47
MYO1B ASPH
MYO1B CTTNBP2NL
MYO1B RHOBTB3
ANKRD20A1 ANKRD20A11P
MEP1A PHLPP2
MEP1A MLLT4-AS1
MEP1A SLC19A3
MEP1A NBPF1
C16orf13 MRPL17
PTGIR LOC100505738
AP1AR UBTD2
AP1AR UGT1A8
AP1AR STK38
AP1AR PTP4A1
PDGFA TRAK1
SULF2 CLDN1
EPB41L4A-AS1 LOC100505880
EPB41L4A-AS1 FOXP1
CCT2 SEC23IP
CCT2 MIR1304
ITGAM EGR2
RND1 MARCH3
TMEM111 KIAA1644
LYZ PCSK1
CAMSAP1 MGA
CAMSAP1 C5orf24
CAMSAP1 C15orf63
CAMSAP1 ZNF641
CYLD ANKRD6
FBXO17 SGSM3
KIAA1524 MAD2L1
KIAA1524 SLC28A3
KIAA1524 PIGW
SGPL1 NFATC3
PROSER1 METTL10
PROSER1 LOC100507376
PLCD3 HOXD10
PLCD3 SERPINA6
PLCD3 CCR9
AP3D1 GPATCH4
YBEY SLC25A26
YBEY COL4A5
YBEY C21orf91-OT1
PTPN22 B3GNT6
GIPC2 PLA2G12A
CBR3 SOCS1
CBR3 NCALD
DLG5 HP
GABRB2 TAC1
GBA3 WNT3
GBA3 FGF9
DCN MS4A6A
DCN PLN
C19orf33 YIF1B
AKAP1 TMEM71
AKAP1 COL17A1
RC3H2 SMEK1
RC3H2 DLG1
SLC17A8 KIAA1467
SLC17A8 SLITRK6
DDX18 TRMT6
NUP37 PDGFRL
KCNE3 LAMA2
KCNE3 CA9
LILRA1 GPCPD1
PLA2G12A CDS1
PLA2G12A UPP1
MYO5C MBOAT2
CAD WDR90
USP38 PSMD12
POLK TSNAX
DUOXA2 C4BPB
DUOXA2 RNF183
MBNL1 IAH1
MBNL1 NUMB
MBNL1 BCL11B
MBNL1 SEPT11
MBNL1 PLGLA
CNGA1 FAM47E
CNGA1 MCF2L
CNGA1 ZNF704
C19orf66 KIAA0226
LTF ST20
OSTalpha SCN4B
OSTalpha ENTPD7
OSTalpha PRKAG2
TRHDE PPID
TRHDE C9orf40
TRHDE ARL14
GLDN INSL5
FAAH ILVBL
FAAH FAM195A
ZFPM2 OXT
RNASEH2C NOL12
COX19 MTR
HAGH ZFAND2B
HAGH MYL5
HAGH COX4I1
HAGH HDDC3
HAGH ZNF789
HAGH GALT
HAGH ZNF554
HAGH PLEKHA8
