gene_symbol	module
MT1M	green
MYCT1	green
MYH11	green
MYO1B	green
NAALAD2	green
NADK	green
NAV3	green
NDUFA7	green
NEBL	green
NECAB3	green
NEDD9	green
NES	green
NGFR	green
NLGN4X	green
NLRP1	green
NMT2	green
NOC2L	green
NOL5A	green
NOTCH4	green
NOV	green
NPR1	green
NPR2	green
NR2F1	green
NR3C2	green
NR4A1	green
NR5A2	green
NRN1	green
NRP1	green
NRXN2	green
NUP210	green
OGN	green
OLFML2A	green
OSBPL8	green
P2RY5	green
P4HA2	green
PALMD	green
PAM	green
PCDH12	green
PCDH9	green
PCK1	green
PCOLCE2	green
PCSK5	green
PDE1A	green
PDE2A	green
PDE3B	green
PDGFA	green
PDGFD	green
PDLIM3	green
PDLIM4	green
PDZD2	green
PDZRN3	green
PEA15	green
PEAR1	green
PECAM1	green
PELI1	green
PELI2	green
PFTK1	green
PGF	green
PGM5	green
PID1	green
PLA2G4A	green
PLA2G5	green
PLAGL1	green
PLAUR	green
PLEKHB1	green
PLEKHF1	green
PLIN	green
PLN	green
PLOD2	green
PLSCR4	green
PLVAP	green
PNMA2	green
PPAP2A	green
PPAP2B	green
PPARG	green
PPAT	green
PPFIBP2	green
PPM1F	green
PPP1R12B	green
PPP1R15A	green
PPP1R1A	green
PPP2R1B	green
PRCP	green
PRKCA	green
PRKD3	green
PRNP	green
PROCR	green
PROS1	green
PRR5	green
PTGER3	green
PTGFR	green
PTGIS	green
PTGS2	green
PTK7	green
PTPRB	green
PTPRM	green
PTPRN	green
PTTG1IP	green
QKI	green
RAI14	green
RAMP2	green
RAPGEF3	green
RASIP1	green
RASL12	green
RBMS1	green
RBP4	green
RCAN1	green
RCAN2	green
RCN1	green
RDH5	green
RERGL	green
RGS2	green
RGS3	green
RGS5	green
RMND5B	green
RND3	green
RNF123	green
ROBO1	green
RPS6KA2	green
RRAD	green
RTF1	green
RUNX1	green
RUNX1T1	green
RUSC2	green
S100A10	green
S100A4	green
S100A6	green
S1PR1	green
SAA1	green
SAA2	green
SACS	green
SALL1	green
SATB2	green
SCG2	green
SCN3A	green
SDPR	green
SEC11C	green
SELE	green
SELP	green
SEMA3F	green
SEMA3G	green
SEPP1	green
SERPINE2	green
SFRP4	green
SGCB	green
SH3D19	green
SHE	green
SIPA1L3	green
SLC12A4	green
SLC18A2	green
SLC19A3	green
SLC23A2	green
SLC25A22	green
SLC36A1	green
SLC46A3	green
SLCO2A1	green
SLFN12	green
SLIT2	green
SLIT3	green
SMAD6	green
SNCA	green
SNCAIP	green
SNRK	green
SNTB2	green
SNX1	green
SNX21	green
SOCS3	green
SOCS5	green
SOD3	green
SORBS1	green
SOX17	green
SOX18	green
SPARCL1	green
SPHK1	green
SPP1	green
SPRY1	green
SPRY2	green
SPTBN1	green
SRPX	green
ST3GAL2	green
STAT5B	green
STEAP1	green
STK24	green
STMN1	green
STMN2	green
STON1	green
STX2	green
SUPT7L	green
SV2B	green
SVEP1	green
TAL1	green
TBX2	green
TCEAL7	green
TCF7L2	green
TCOF1	green
TDRD10	green
TEK	green
TENC1	green
TES	green
TFPI	green
TGFB2	green
TGFB3	green
TGFBI	green
TGFBR2	green
TGFBR3	green
THBD	green
THBS4	green
THSD1	green
THSD7A	green
TIE1	green
TIMP2	green
TIMP4	green
TLN2	green
TMEM100	green
TMEM158	green
TMEM2	green
TMEM200A	green
TMEM22	green
TMEM43	green
TMEM98	green
TNFSF12	green
TNMD	green
TNN	green
TNS1	green
TNXB	green
TPM1	green
TREM1	green
TRIB2	green
TRO	green
TSHZ2	green
TSPAN4	green
TSPAN7	green
TTC28	green
TUBA1A	green
TUBB2A	green
TUBB6	green
TXNIP	green
UBE2E3	green
UBXN7	green
VIM	green
VPS13C	green
VWF	green
WBP5	green
WFDC1	green
WWTR1	green
XPNPEP3	green
XYLT1	green
ZBTB20	green
ZC3H12B	green
ZEB1	green
ZFP36	green
ZFP36L2	green
ZNF276	green
ZNF423	green
ZNF532	green
